Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,77
Resources at Academic Entrepreneurship Centers,64
Equity Allocation in Startups,44
Identifying Unmet Needs: Problems that Need Solutions,44
What is Academic Entrepreneurship?,41
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,40
I-Corps as a Training Tool for New Technology Development,38
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,29
FDA Drug Regulation: Investigational New Drug Applications,22
Handling Disruptive Innovation in Clinical and Research Settings,21
Innate Biases,18
"FDA Device Regulation: 510(k), PMA",16
Intellectual Property Protection for Biologics,15
Building a Successful Startup Team,13
Accelerators and Incubators,12
Overview of Drug Development,12
Rapid Prototyping Strategies,11
Overview of Device Development,11
Reimbursement Strategies and CPT Codes for Device Development,10
Careers in Academia and Industry: Transitions and Challenges,9
Writing Business Plans for a Life Science Startup or Clinical Program,8
Surgical Device Development,8
SBIR/STTR Grants: Application Guidance,8
Digital Health: Software as a Medical Device,8
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,7
Strategic Planning and Costs of FDA Regulation,7
Preclinical Animal Models,7
Startup Company Formation and Management,7
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,6
Working with the University Technology Transfer Office,6
Intellectual Property: Commercializing in a University Setting,5
Seeking Venture Capital Investment,5
The Promotion Process: Academic Entrepreneurship Career Tracks,5
SBIR/STTR Grants: Introduction and Overview,4
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,4
Intellectual Property: Ownership and Protection in a University Setting,3
Conducting Insightful Market Research,3
Negotiation Strategies,3
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,2
Understanding Conflict of Interest for Academic Entrepreneurs,2
Pediatric Medical Device Development Pathways,2
Clinical and Translational Science Awards,2
Social Entrepreneurship in Healthcare,1
Marketing in an Academic Institution,1
Development Strategies for Animal Medical Therapeutics,1
Angel Investors,1
Department of Defense: SBIR/STTR Grants and Other Contracts,1
