Article,Downloads
Orphan Drugs: Understanding the FDA Approval Process,165
Developing In Vitro Diagnostics for Commercialization and Clinical Implementation,123
"FDA Device Regulation: 510(k), PMA",87
SBIR/STTR Grants: Application Guidance,66
Preclinical Animal Models,49
FDA Drug Regulation: Investigational New Drug Applications,48
Intellectual Property Protection for Biologics,48
Building a Successful Startup Team,40
Conducting Insightful Market Research,39
Writing Business Plans for a Life Science Startup or Clinical Program,35
I-Corps as a Training Tool for New Technology Development,34
Negotiation Strategies,32
Innate Biases,31
Identifying Unmet Needs: Problems that Need Solutions,29
What is Academic Entrepreneurship?,29
Reimbursement Strategies and CPT Codes for Device Development,26
Intellectual Property: Commercializing in a University Setting,25
Human-Centered Design: Understanding Customers’ Needs Through Discovery and Interviewing,25
Digital Health: Software as a Medical Device,25
Does My Invention Already Exist? Conducting a Patent / Prior Art Search,22
Overview of Device Development,21
Laws and Ethics in relation to Medical Entrepreneurship,21
Intrapreneurship:  Strategic Approaches for Managing Disruptive Innovation in Clinical and Research Projects,20
The Promotion Process: Academic Entrepreneurship Career Tracks,19
Resources at Academic Entrepreneurship Centers,19
Intellectual Property: Ownership and Protection in a University Setting,19
Equity Allocation in Startups,17
Surgical Device Development,17
Overview of Drug Development,15
Development Strategies for Animal Medical Therapeutics,13
A Seat at the Table: Special Considerations for Women and Underrepresented Groups in Academic Entrepreneurship,13
Startup Company Formation and Management,12
Working with the University Technology Transfer Office,11
Social Entrepreneurship in Healthcare,10
Seeking Venture Capital Investment,9
Forming and Maintaining Meaningful Partnerships Between Academic Scientists and Corporations,8
Handling Disruptive Innovation in Clinical and Research Settings,8
Rapid Prototyping Strategies,7
Accelerators and Incubators,7
SBIR/STTR Grants: Introduction and Overview,7
Department of Defense: SBIR/STTR Grants and Other Contracts,7
Marketing in an Academic Institution,6
Careers in Academia and Industry: Transitions and Challenges,5
Pediatric Medical Device Development Pathways,5
Development of Radiographic Contrast Agents for Diagnostic Imaging,5
Strategic Planning and Costs of FDA Regulation,5
Understanding Conflict of Interest for Academic Entrepreneurs,3
Angel Investors,3
Nonprofit and Foundation Sponsored Research: Developing New Models of Collaboration for Research and Development,3
Clinical and Translational Science Awards,3
Careers in Academia and Industry:  Transitions and Challenges,2
